Authors,Title,Publication,Volume,Number,Pages,Year,Publisher
"Choqueuse, Vincent; Benbouzid, Mohamed El Hachemi; Amirat, Yassine; Turri, Sylvie; ",Diagnosis of three-phase electrical machines using multidimensional demodulation techniques,IEEE Transactions on Industrial Electronics,59,4,2014-2023,2011,IEEE
"Amirat, Yassine; Choqueuse, Vincent V; Benbouzid, Mohamed; Turri, Sylvie; ",Hilbert transform-based bearing failure detection in DFIG-based wind turbines,International Review of Electrical Engineering,6,3,1249-1256,2011,
"Choqueuse, VINCENT; Azou, STEPHANE; Yao, KOFFI; Collin, LUDOVIC; Burel, GILLES; ",Blind modulation recognition for MIMO systems,J. Military Technical Academy Review,19,2,183-196,2009,
"Choqueuse, Vincent V; Benbouzid, Mohamed; Charpentier, Jean-Frederic; ",Etude comparative des techniques de traitement du signal non-stationnaires dédiées au diagnostic des génératrices asynchrones dans les eoliennes offshores et les hydroliennes,Electrotechnique du Futur-EF 2011,,,1-10,2011,
"Bouchikhi, El H; Choqueuse, Vincent; Benbouzid, MEH; Charpentier, Jean-Frederic; Barakat, Georges; ",A comparative study of time-frequency representations for fault detection in wind turbine,IECON 2011-37th Annual Conference of the IEEE Industrial Electronics Society,,,3584-3589,2011,IEEE
"Choqueuse, Vincent; Benbouzid, Mohamed; Charpentier, Jean Frédéric; ",Induction machine bearing failures detection using stator current frequency spectral subtraction,2012 IEEE International Symposium on Industrial Electronics,,,1228-1233,2012,IEEE
"Elbouchikhi, Elhoussin; Choqueuse, Vincent; Benbouzid, Mohamed El Hachemi; ",Current frequency spectral subtraction and its contribution to induction machines’ bearings condition monitoring,IEEE Transactions on Energy Conversion,28,1,135-144,2013,IEEE
"Amirat, Yassine; Choqueuse, Vincent; Benbouzid, Mohamed; ",Wind turbine bearing failure detection using generator stator current homopolar component ensemble empirical mode decomposition,IECON 2012-38th Annual Conference on IEEE Industrial Electronics Society,,,3937-3942,2012,IEEE
"Choqueuse, Vincent; Benbouzid, Mohamed; Charpentier, Jean Frederic; ",Induction machine fault detection enhancement using a stator current high resolution spectrum,IECON 2012-38th Annual Conference on IEEE Industrial Electronics Society,,,3913-3918,2012,IEEE
"Amirat, Yassine; Choqueuse, Vincent; Benbouzid, Mohamed; ",EEMD-based wind turbine bearing failure detection using the generator stator current homopolar component,Mechanical Systems and Signal Processing,41,1-2,667-678,2013,Academic Press
"Choqueuse, Vincent V; Benbouzid, Mohamed; ",Analyse spectrale paramétrique dans un contexte smart-grid,GRETSI 2013,,,1-4,2013,
"Al-Ahmar, E; Amirat, Y; Choqueuse, V; Benbouzid, MEH; ",AComparative STUDY OF ADVANCED SIGNAL PROCESSING TECHNIQUES FOR THE CONDITION MONITORING OF DFIG-BASED WIND TURBINES,,,,,,
"Choqueuse, Vincent; Benbouzid, MEH; ",A parametric spectral estimator for faults detection in induction machines,IECON 2013-39th Annual Conference of the IEEE Industrial Electronics Society,,,7358-7363,2013,IEEE
"Choqueuse, Vincent; Benbouzid, MEH; ",Non-stationary spectral estimation for wind turbine induction generator faults detection,IECON 2013-39th Annual Conference of the IEEE Industrial Electronics Society,,,7376-7381,2013,IEEE
"Busson, Sylvain; Nicol, Rozenn; Choqueuse, Vincent; Lemaire, Vincent; ",Non-linear interpolation of head related transfer function,CFA06,,,,2006,
"Choqueuse, Vincent; Benbouzid, Mohamed; Antonino-Daviu, Jose A; ",Stator current demodulation for induction machine rotor faults diagnosis,2014 First International Conference on Green Energy ICGE 2014,,,176-181,2014,IEEE
"Choqueuse, Vincent; Belouchrani, Adel; El Bouchikhi, E; Benbouzid, Mohamed El Hachemi; ","Estimation of amplitude, phase and unbalance parameters in three-phase systems: analytical solutions, efficient implementation and performance analysis",IEEE Transactions on Signal Processing,62,16,4064 - 4076,2014,IEEE
"El Bouchikhi, El Houssin; Choqueuse, Vincent; Benbouzid, Mohamed; ",Induction machine faults detection using stator current parametric spectral estimation,Mechanical Systems and Signal Processing,52,,447-464,2015,Academic Press
"MAUSSION, Pascal; MIRAOUI, Abdellatif; CHOQUEUSE, Vincent; BENBOUZID, Mohamed; CHARPENTIER, Jean Frédéric; ",On parametric spectral estimation for induction machine faults detection in stationary and non-stationary environments,,,,,2013,Université de Bretagne Occidentale
"Choqueuse, Vincent; Belouchrani, Adel; Bouleux, Guillaume; Benbouzid, Mohamed El Hachemi; ",Voltage sags estimation in three-phase systems using Unconditional Maximum Likelihood estimation,"2015 IEEE International Conference on Acoustics, Speech and Signal Processing (ICASSP)",,,2869-2873,2015,IEEE
"Choqueuse, Vincent; Belouchrani, Adel; Benbouzid, Mohamed; ",Phasor estimation using conditional maximum likelihood: Strengths and limitations,2015 23rd European Signal Processing Conference (EUSIPCO),,,2251-2255,2015,IEEE
"Elbouchikhi, Elhoussin; Choqueuse, Vincent; Trachi, Youness; Benbouzid, Mohamed; ",Induction machine bearing faults detection based on Hilbert-Huang transform,2015 IEEE 24th International Symposium on Industrial Electronics (ISIE),,,843-848,2015,IEEE
"Choqueuse, Vincent; Elbouchikhi, Elhoussin; Benbouzid, Mohamed; ",Maximum likelihood frequency estimation in smart grid applications,2015 IEEE 24th International Symposium on Industrial Electronics (ISIE),,,1339-1344,2015,IEEE
"Trachi, Youness; Elbouchikhi, Elhoussin; Choqueuse, Vincent; Benbouzid, Mohamed; ",Stator current analysis by subspace methods for fault detection in induction machines,IECON 2015-41st Annual Conference of the IEEE Industrial Electronics Society,,,003479-003484,2015,IEEE
"Choqueuse, Vincent V; Benbouzid, Mohamed; ",Induction machine diagnosis using stator current advanced signal processing,International Journal on Energy Conversion,3,3,76–87,2015,
"Choqueuse, Vincent V; Benbouzid, Mohamed; ",Condition monitoring of induction motors based on stator currents demodulation,International Review of Electrical Engineering-IREE,10,6,704-715,2015,
"Oubrahim, Zakarya; Choqueuse, Vincent; Amirat, Yassine; Benbouzid, Mohamed; ",An improved algorithm for power system fault type classification based on least square phasor estimation,IECON 2015-41st Annual Conference of the IEEE Industrial Electronics Society,,,002735-002740,2015,IEEE
"Elbouchikhi, Elhoussin; Choqueuse, Vincent; Benbouzid, Mohamed; ",Induction machine bearing faults detection based on a multi-dimensional MUSIC algorithm and maximum likelihood estimation,ISA transactions,63,,413-424,2016,Elsevier
